,Year,Rating,Runtime(Mins),Total_Gross,Title
254,2004,7.5,120,101.01,Collateral
255,2003,7.5,116,0.85,Zatôichi
256,1994,7.5,102,11.55,Jui kuen II
257,1994,7.5,102,50.69,The Crow
258,1990,7.5,113,119.39,Total Recall
259,1990,7.5,135,122.01,The Hunt for Red October
260,1989,7.5,126,251.19,Batman
261,1988,7.5,126,38.41,Midnight Run
262,1985,7.5,100,0.11,Ging chaat goo si
263,1984,7.5,118,179.87,Indiana Jones and the Temple of Doom
264,1979,7.5,93,22.49,The Warriors
265,1970,7.5,144,29.55,Tora! Tora! Tora!
266,1963,7.5,210,46.3,It's a Mad Mad Mad Mad World
267,1961,7.5,158,28.9,The Guns of Navarone
268,2021,7.4,132,224.54,Shang-Chi and the Legend of the Ten Rings
269,2021,7.4,92,27.27,Nobody
270,2019,7.4,129,390.53,Spider-Man: Far from Home
271,2019,7.4,130,171.02,John Wick: Chapter 3 - Parabellum
272,2017,7.4,122,92.03,John Wick: Chapter 2
274,2017,7.4,140,146.88,War for the Planet of the Apes
275,2014,7.4,101,43.04,John Wick
276,2014,7.4,97,0.07,Predestination
277,2019,7.4,104,160.8,How to Train Your Dragon: The Hidden World
278,2015,7.4,131,195.04,Mission: Impossible - Rogue Nation
279,2017,7.4,133,334.2,Spider-Man: Homecoming
281,2018,7.4,140,137.69,Ready Player One
282,2011,7.4,129,186.85,Sherlock Holmes: A Game of Shadows
283,2009,7.4,114,0.08,Samâ uôzu
284,2012,7.4,119,66.49,Looper
285,2011,7.4,132,209.4,Mission: Impossible - Ghost Protocol
286,2009,7.4,109,73.34,Law Abiding Citizen
287,2009,7.4,84,0.23,Black Dynamite
288,2017,7.4,141,412.56,Wonder Woman
289,2008,7.4,133,0.28,L'ennemi public n°1
290,2005,7.4,96,31.49,A History of Violence
291,2004,7.4,127,373.59,Spider-Man 2
292,2003,7.4,139,58.33,Open Range
293,2003,7.4,138,93.93,Master and Commander: The Far Side of the World
294,2003,7.4,134,214.95,X2
295,2002,7.4,121,403.71,Spider-Man
296,1996,7.4,136,134.07,The Rock
297,1981,7.4,123,11.49,Thief
299,1978,7.4,143,134.22,Superman
300,1971,7.4,112,0.39,Get Carter
301,1968,7.4,114,42.3,Bullitt
302,1963,7.4,115,24.8,From Russia with Love
305,2020,7.3,150,58.46,Tenet
307,2016,7.3,133,31.89,Patriots Day
308,2016,7.3,144,52.85,13 Hours
309,2017,7.3,104,175.75,The Lego Batman Movie
311,2016,7.3,116,36.26,The Nice Guys
312,2015,7.3,141,459.01,Avengers: Age of Ultron
313,2021,7.3,163,160.87,No Time to Die
314,2014,7.3,133,350.13,American Sniper
315,2016,7.3,128,86.26,The Accountant
316,2015,7.3,102,18.7,Eye in the Sky
317,2018,7.3,134,700.06,Black Panther
318,2015,7.3,124,52.42,Southpaw
319,2011,7.3,130,209.84,Fast Five
320,2010,7.3,133,21.15,The Next Three Days
322,2008,7.3,186,2.43,Ghajini
324,2009,7.3,134,37.49,Invictus
326,2010,7.3,95,148.42,Megamind
327,2011,7.3,107,77.59,The Adventures of Tintin
328,2008,7.3,150,0.48,Der Baader Meinhof Komplex
329,2015,7.3,117,180.2,Ant-Man
330,2019,7.3,122,85.71,Alita: Battle Angel
331,2008,7.3,288,0.63,Chi bi
332,2006,7.3,122,6.86,Running Scared
333,2006,7.3,151,423.32,Pirates of the Caribbean: Dead Man's Chest
334,2004,7.3,105,2.34,Layer Cake
335,2004,7.3,101,59.02,Dawn of the Dead
336,2001,7.3,113,0.49,Siu Lam juk kau
337,2002,7.3,107,1.2,Equilibrium
338,2000,7.3,104,157.3,X-Men
339,1998,7.3,140,44.48,The Negotiator
340,1998,7.3,132,111.55,Enemy of the State
341,1997,7.3,129,54.81,Starship Troopers
342,1997,7.3,98,250.69,Men in Black
343,1997,7.3,107,28.01,Grosse Pointe Blank
